127.0.0.1 - - [20/Nov/2024:15:02:16 +0800] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:44 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:45 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:46 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:46 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:46 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:47 +0800] "GET /javaweb/order HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:48 +0800] "GET /javaweb/cart HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:49 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:51 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:52 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:52 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:07:52 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:23 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:23 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:23 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:23 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:23 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:23 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:23 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:23 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:24 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:25 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:26 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:27 +0800] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:28 +0800] "GET /javaweb/order/history HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:28 +0800] "GET /javaweb/css/buttons.css HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [20/Nov/2024:15:08:28 +0800] "GET /favicon.ico HTTP/1.1" 404 763
